playerId	avg_points_per_min	games	bucket
76094	0.276	2	LOW
1626204	0.222	1	LOW
1630166	0.677	1	MID
1630168	0.364	1	MID
133	0.611	2	MID
1631106	0.292	1	LOW
78423	0.113	2	LOW
137	0.559	1	MID
76598	0.803	2	HIGH
77984	0.364	1	MID
138	0.290	1	LOW
201160	0.118	1	LOW
77536	0.105	1	LOW
76647	0.681	2	MID
201163	0.424	1	MID
200770	0.292	2	LOW
1761	0.500	1	MID
2202	0.629	1	MID
2203	0.373	2	MID
1628396	0.625	1	MID
1626164	0.976	1	HIGH
2207	0.565	2	MID
2209	0.312	1	MID
200826	0.167	1	LOW
1628449	1.333	1	HIGH
1630176	0.000	1	ZERO
77494	0.286	1	LOW
143	0.429	1	MID
76154	0.000	1	ZERO
77498	0.605	1	MID
146	0.000	1	ZERO
78435	0.444	1	MID
149	0.912	1	HIGH
78437	0.231	1	LOW
77548	0.500	1	MID
200780	0.750	1	HIGH
2211	0.444	1	MID
203457	0.235	1	LOW
203953	0.486	1	MID
1626171	1.000	1	HIGH
1626172	0.526	1	MID
2216	0.190	1	LOW
201228	0.182	1	LOW
78390	0.345	1	MID
1629346	0.263	1	LOW
200837	0.118	1	LOW
1626224	0.645	1	MID
1631120	0.000	1	ZERO
77054	0.293	2	LOW
1642267	0.108	1	LOW
76166	0.412	1	MID
156	1.000	1	HIGH
157	0.333	1	MID
78445	0.556	1	MID
202	0.428	3	MID
1631128	0.000	1	ZERO
204	0.575	4	MID
77106	0.429	1	MID
76217	0.414	1	MID
76712	0.467	1	MID
208	0.429	1	MID
703	0.258	1	LOW
600001	0.262	1	LOW
203463	0.000	1	ZERO
76716	0.291	3	LOW
201188	0.774	1	HIGH
77609	0.000	1	ZERO
